index,episode_number,radio_date,title
120,121,1999-01-29,Twentieth Century Man
121,122,1999-02-12,Valentine’s Day ’99
122,123,1999-02-26,High Cost of Living
123,124,1999-03-19,Welcome to America
124,125,1999-04-02,Apocalypse
125,126,1999-04-09,Do-Gooders
126,127,1999-04-16,Pimp Anthropology
127,128,1999-04-30,Four Corners
128,129,1999-05-14,Advice
129,130,1999-05-21,Away From Home
130,131,1999-06-04,The Kids Are Alright
131,132,1999-06-18,Father’s Day ‘99
132,133,1999-06-25,Sales
133,134,1999-07-09,We Didn’t
134,135,1999-07-23,Allure of Crime
135,136,1999-08-06,You Are Here
136,137,1999-08-20,The Book That Changed Your Life
137,138,1999-08-27,The Real Thing
138,139,1999-09-03,Ghosts of Elections Past
139,140,1999-09-24,Family Business
140,141,1999-10-01,Invisible Worlds
141,142,1999-10-15,Barbara
142,143,1999-10-22,Sentencing
143,144,1999-11-05,Where Words Fail
144,145,1999-11-26,Poultry Slam 1999
145,146,1999-12-10,Urban Nature
146,147,1999-12-17,A Teenager's Guide to God
147,148,1999-12-24,The Angels Wanna Wear My Red Suit
148,149,2000-01-14,Bedside Diplomacy
149,150,2000-01-21,Kids As Adults
150,151,2000-01-28,Primary
151,152,2000-02-11,Crush
152,153,2000-03-03,Dolls
153,154,2000-03-10,In Dog We Trust
154,155,2000-03-17,Hoaxing Yourself
155,156,2000-03-31,What Remains
156,157,2000-04-14,Secret Life of Daytime
157,158,2000-05-05,Mob Mentality
158,159,2000-05-12,Mother’s Day
159,160,2000-05-19,Character Assassination
160,161,2000-06-02,Million Bubbles
161,162,2000-06-23,Moving
162,163,2000-06-30,Can You Fight City Hall…If You Are City Hall?
163,164,2000-07-07,Crime Scene
164,165,2000-07-28,Americans In Paris
165,166,2000-08-11,Nobody's Family Is Going to Change
166,167,2000-09-08,Memo to the People of the Future
167,168,2000-09-15,The Fix Is In
168,169,2000-09-29,Pursuit of Happiness
169,170,2000-10-13,Immigration
170,171,2000-11-03,Election
171,172,2000-11-17,24 Hours at the Golden Apple
172,173,2000-12-15,Three Kinds of Deception
173,174,2000-12-29,"Birthdays, Anniversaries, and Milestones"
174,175,2001-01-05,Babysitting
175,176,2001-01-26,"Two Nations, One President"
176,177,2001-02-09,American Limbo
177,178,2001-02-23,Superpowers
178,179,2001-03-16,Cicero
179,180,2001-03-23,Return to Childhood
180,181,2001-04-06,The Friendly Man
181,182,2001-04-13,Cringe
182,183,2001-04-20,The Missing Parents Bureau
183,184,2001-05-11,Neighbors
184,185,2001-05-25,Golden Calf
185,186,2001-06-08,Prom
186,187,2001-06-15,Father's Day '01
187,188,2001-06-22,Kid Logic
188,189,2001-07-13,Hitler’s Yacht
189,190,2001-08-03,Living the Dream
190,191,2001-08-17,I Know What You Did This Summer
191,192,2001-08-31,Meet the Pros
192,193,2001-09-14,Stories of Loss
193,194,2001-09-21,Before and After
194,195,2001-09-28,War Stories
195,196,2001-10-05,Rashomon
196,197,2001-10-26,Before It Had A Name
197,198,2001-11-02,How to Win Friends and Influence People
198,199,2001-11-16,House on Loon Lake
199,200,2001-11-30,Hearts and Minds
200,201,2001-12-07,Them
201,202,2001-12-21,Faith
202,203,2002-01-11,Recordings for Someone
203,204,2002-01-18,81 Words
204,205,2002-02-01,Plan B
205,206,2002-03-01,Somewhere in the Arabian Sea
206,207,2002-03-08,Special Ed
207,208,2002-03-15,Office Politics
208,209,2002-03-29,Didn’t Ask to Be Born
209,210,2002-04-19,Perfect Evidence
210,211,2002-05-03,Naming Names
211,212,2002-05-10,The Other Man
212,213,2002-05-24,Devil on My Shoulder
213,214,2002-05-31,Family Physics
214,215,2002-06-14,Ask An Expert
215,216,2002-07-12,Give the People What They Want
216,217,2002-08-02,Give It to Them
217,218,2002-08-09,Act V
218,219,2002-08-16,High Speed Chase
219,220,2002-08-30,Testosterone
220,221,2002-09-20,Fake I.D.
221,222,2002-09-27,Suckers
222,223,2002-10-11,Classifieds
223,224,2002-10-25,Middlemen
224,225,2002-11-08,Home Movies
225,226,2002-12-06,Reruns
226,227,2002-12-20,Why We Fight
227,228,2003-01-03,You Are So Beautiful…To Me
228,229,2003-01-10,Secret Government
229,230,2003-01-31,Come Back to Afghanistan
230,231,2003-02-07,Time to Save the World
231,232,2003-02-14,The Real Story
232,233,2003-03-07,Starting from Scratch
233,234,2003-03-14,Say Anything
234,235,2003-03-21,The Balloon Goes Up
235,236,2003-04-11,My Two Cents
236,237,2003-04-18,Regime Change
237,238,2003-05-30,Lost in Translation
238,239,2003-06-06,Lost in America
239,240,2003-06-20,I’m In Charge Now
240,241,2003-07-11,20 Acts in 60 Minutes
241,242,2003-07-18,Enemy Camp
242,243,2003-07-25,Later That Same Day
243,244,2003-08-15,MacGyver
244,245,2003-09-05,Allure of the Mean Friend
245,246,2003-09-12,My Pen Pal
246,247,2003-09-19,What Is This Thing?
247,248,2003-10-24,Like It or Not
248,249,2003-10-31,Garbage
249,250,2003-11-07,The Annoying Gap Between Theory...and Practice
250,251,2003-11-21,Brother’s Keeper
251,252,2003-11-28,Poultry Slam 2003
252,253,2003-12-05,The Middle of Nowhere
253,254,2003-12-12,"Teenage Embed, Part Two"
254,255,2003-12-19,This American Life’s Holiday Gift-Giving Guide
255,256,2004-01-09,Living Without
256,257,2004-01-16,What I Should’ve Said
257,258,2004-01-30,Leaving the Fold
258,259,2004-02-20,Promised Land
259,260,2004-03-12,The Facts Don’t Matter
260,261,2004-03-26,The Sanctity of Marriage
261,262,2004-04-02,Miracle Cures
262,263,2004-04-16,Desperate Measures
263,264,2004-05-07,Special Treatment
264,265,2004-05-21,Fake Science
265,266,2004-06-04,I'm From the Private Sector and I'm Here to Help
266,267,2004-06-11,Propriety
267,268,2004-06-25,My Experimental Phase
268,269,2004-07-16,Someone to Watch Over Me
269,270,2004-08-06,Family Legend
270,271,2004-08-20,Best Interests
271,272,2004-09-10,Big Tent
272,273,2004-09-24,Put Your Heart In It
273,274,2004-10-08,Enemy Camp ‘04
274,275,2004-10-15,Two Steps Back
275,276,2004-10-29,Swing Set
276,277,2004-11-05,Apology
277,278,2004-11-19,Spies Like Us
278,279,2004-12-10,Auto Show
279,280,2005-01-07,In Country
280,281,2005-01-21,My Big Break
281,282,2005-02-11,DIY
282,283,2005-02-25,Remember Me
283,284,2005-03-11,Should I Stay or Should I Go?
284,285,2005-03-25,Know Your Enemy
285,286,2005-04-08,Mind Games
286,287,2005-04-15,Backed Into A Corner
287,288,2005-05-06,Not What I Meant
288,289,2005-05-13,Go Ask Your Father
289,290,2005-06-03,Godless America
290,291,2005-07-01,Reunited (And It Feels So Good)
291,292,2005-07-08,The Arms Trader
292,293,2005-07-22,A Little Bit of Knowledge
293,294,2005-08-05,Image Makers
294,295,2005-08-26,Not What I Signed Up For
295,296,2005-09-09,After the Flood
296,297,2005-09-16,This Is Not My Beautiful House
297,298,2005-09-23,Getting and Spending
298,299,2005-10-07,Back from the Dead
299,300,2005-10-28,What’s In A Number?
300,301,2005-11-11,Settling the Score
301,302,2005-11-18,Strangers in a Strange Land
302,303,2005-12-02,David and Goliath
303,304,2005-12-16,Heretics
304,305,2005-12-23,The This American Life Holiday Spectacular
305,306,2006-01-13,Seemed Like A Good Idea at the Time
306,307,2006-02-03,In the Shadow of the City
307,308,2006-02-10,Star-Crossed Love
308,309,2006-02-24,Cat and Mouse
309,310,2006-03-10,Habeas Schmabeas
310,311,2006-04-14,A Better Mousetrap
311,312,2006-05-12,How We Talked Back Then
312,313,2006-05-19,Parental Guidance Suggested
313,314,2006-06-23,It's Never Over
314,315,2006-07-21,The Parrot and the Potbellied Pig
315,316,2006-08-18,The Cat Came Back
316,317,2006-09-15,Unconditional Love
317,318,2006-10-06,With Great Power
318,319,2006-10-27,And the Call Was Coming from the Basement
319,320,2006-11-03,What’s In A Number? — 2006 Edition
320,321,2006-12-01,Sink or Swim
321,322,2006-12-15,Shouting Across the Divide
322,323,2007-01-05,The Super
323,324,2007-01-26,My Brilliant Plan
324,325,2007-02-02,Houses of Ill Repute
325,326,2007-02-16,Quiz Show
326,327,2007-03-09,By Proxy
327,328,2007-03-16,What I Learned from Television
328,329,2007-04-06,Nice Work If You Can Get It
329,330,2007-04-13,My Reputation
330,331,2007-04-27,Habeas Schmabeas 2007
331,332,2007-05-04,The Ten Commandments
332,333,2007-05-25,The Center for Lessons Learned
333,334,2007-06-01,Duty Calls
334,335,2007-06-15,Big Wide World
335,336,2007-07-06,Who Can You Save?
336,337,2007-07-27,Man vs. History
337,338,2007-08-10,The Spokesman
338,339,2007-08-24,Break-Up
339,340,2007-09-07,The Devil in Me
340,341,2007-10-05,How to Talk to Kids
341,342,2007-11-02,How to Rest in Peace
342,343,2007-11-23,Poultry Slam 2007
343,344,2007-11-30,The Competition
344,345,2007-12-14,Ties That Bind
345,346,2007-12-21,Home Alone
346,347,2008-01-18,Matchmakers
347,348,2008-02-08,Tough Room
348,349,2008-02-15,Valentine’s Day 2008
349,350,2008-02-29,Human Resources
350,351,2008-03-07,Return to Childhood 2008
351,352,2008-03-14,The Ghost of Bobby Dunbar
352,353,2008-03-28,The Audacity of Government
353,354,2008-04-18,Mistakes Were Made
354,355,2008-05-09,The Giant Pool of Money
355,356,2008-05-30,The Prosecutor
356,357,2008-06-13,The Truth Will Out
357,358,2008-06-27,Social Engineering
358,359,2008-07-18,Life After Death
359,360,2008-07-25,Switched At Birth
360,361,2008-08-08,Fear of Sleep
361,362,2008-08-22,Got You Pegged
362,363,2008-09-12,Enforcers
363,364,2008-09-26,Going Big
364,365,2008-10-03,Another Frightening Show About the Economy
365,366,2008-10-10,A Better Mousetrap 2008
366,367,2008-10-24,Ground Game
367,368,2008-11-07,Who Do You Think You Are?
368,369,2008-11-28,Poultry Slam 2008
369,370,2008-12-19,Ruining It for the Rest of Us
370,371,2008-12-26,Scenes From a Mall
371,372,2009-01-16,The Inauguration Show
372,373,2009-01-30,The New Boss
373,375,2009-02-27,Bad Bank
374,376,2009-03-13,Wrong Side of History
375,377,2009-03-27,Scenes From a Recession
376,378,2009-04-17,This I Used to Believe
377,379,2009-05-01,Return To The Scene Of The Crime
378,380,2009-05-15,No Map
379,381,2009-05-22,Turncoat
380,382,2009-06-05,The Watchmen
381,383,2009-06-19,Origin Story
382,384,2009-06-26,Fall Guy
383,385,2009-07-10,Pro Se
384,386,2009-07-24,Fine Print
385,387,2009-08-07,Arms Trader 2009
386,388,2009-09-04,Rest Stop
387,389,2009-09-11,Frenemies
388,390,2009-09-25,Return To The Giant Pool of Money
389,391,2009-10-09,More Is Less
390,392,2009-10-16,Someone Else's Money
391,393,2009-10-30,Infidelity
392,394,2009-11-06,Bait and Switch
393,395,2009-11-27,Middle of the Night
394,396,2009-12-18,#1 Party School
395,397,2010-01-01,2010
396,398,2010-01-08,Long Shot
397,399,2010-01-22,Contents Unknown
398,400,2010-02-12,Stories Pitched by Our Parents
399,401,2010-02-19,Parent Trap
400,402,2010-03-12,Save the Day
401,403,2010-03-26,NUMMI
402,404,2010-04-02,Enemy Camp 2010
403,405,2010-04-09,Inside Job
404,406,2010-04-23,True Urban Legends 
405,407,2010-05-07,The Bridge
406,408,2010-05-21,Island Time 
407,409,2010-06-04,Held Hostage
408,410,2010-06-18,Social Contract
409,411,2010-06-25,First Contact
410,412,2010-07-16,Million Dollar Idea
411,413,2010-07-30,Georgia Rambler
412,414,2010-09-10,Right to Remain Silent
413,415,2010-09-24,Crybabies
414,416,2010-10-15,Iraq After Us
415,417,2010-10-29,This Party Sucks
416,418,2010-11-05,Toxie
417,419,2010-11-12,Petty Tyrant
418,420,2010-11-19,Neighborhood Watch
419,421,2010-12-03,Last Man Standing
420,422,2010-12-17,Comedians of Christmas Comedy Special
421,423,2011-01-07,The Invention of Money
422,424,2011-01-14,Kid Politics
423,425,2011-01-21,Slow To React
424,426,2011-02-04,Tough Room 2011
425,427,2011-02-11,Original Recipe
426,428,2011-03-04,Oh You Shouldn't Have
427,429,2011-03-11,Will They Know Me Back Home?
428,430,2011-03-25,Very Tough Love
429,431,2011-04-01,See No Evil
430,432,2011-04-08,Know When To Fold ‘Em
431,433,2011-04-15,Fine Print 2011
432,434,2011-05-06,This Week
433,435,2011-05-13,How To Create a Job
434,436,2011-05-27,The Psychopath Test
435,437,2011-06-03,Old Boys Network
436,438,2011-06-17,Father's Day 2011
437,439,2011-06-24,A House Divided
438,440,2011-07-08,Game Changer
439,441,2011-07-22,When Patents Attack!
440,442,2011-07-29,Thugs
441,443,2011-08-12,Amusement Park
442,444,2011-08-26,Gossip
443,445,2011-09-09,Ten Years In
444,446,2011-09-16,Living Without (2011)
445,447,2011-09-23,The Incredible Case of the P.I. Moms
446,448,2011-10-07,Adventure!
447,449,2011-10-28,Middle School
448,450,2011-11-11,So Crazy It Just Might Work
449,451,2011-11-18,Back to Penn State
450,452,2011-12-02,Poultry Slam 2011
451,453,2011-12-16,Nemeses
452,454,2012-01-06,Mr. Daisey and the Apple Factory
453,455,2012-01-20,Continental Breakup
454,456,2012-01-27,Reap What You Sow
455,457,2012-02-10,What I Did For Love
456,458,2012-02-17,Play the Part
457,459,2012-03-02,What Kind of Country
458,460,2012-03-16,Retraction
459,461,2012-03-30,Take the Money and Run for Office
460,462,2012-04-13,Own Worst Enemy
461,463,2012-04-27,Mortal Vs. Venial
462,464,2012-05-18,Invisible Made Visible
463,465,2012-05-25,What Happened At Dos Erres
464,466,2012-06-08,Blackjack
465,467,2012-06-22,Americans in China
466,468,2012-06-29,Switcheroo
467,469,2012-07-13,Hiding in Plain Sight
468,470,2012-07-27,Show Me the Way
469,471,2012-08-10,The Convert
470,472,2012-08-17,Our Friend David
471,473,2012-08-24,Loopholes
472,474,2012-09-14,Back to School
473,475,2012-09-28,Send a Message
474,476,2012-10-05,What Doesn’t Kill You
475,477,2012-10-19,Getting Away With It
476,478,2012-11-02,Red State Blue State
477,479,2012-11-23,Little War on the Prairie
478,480,2012-11-30,Animal Sacrifice
479,481,2012-12-07,This Week
480,482,2012-12-21,"Lights, Camera, Christmas!"
481,483,2013-01-04,Self-Improvement Kick 
482,484,2013-01-11,Doppelgängers
483,485,2013-01-25,Surrogates
484,486,2013-02-08,Valentine’s Day
485,487,2013-02-15,Harper High School - Part One
486,488,2013-02-22,Harper High School - Part Two
487,489,2013-03-01,"No Coincidence, No Story!"
488,490,2013-03-22,Trends With Benefits
489,491,2013-03-29,Tribes
490,492,2013-04-12,Dr. Gilmer and Mr. Hyde
491,493,2013-04-19,Picture Show
492,494,2013-05-03,Hit the Road
493,495,2013-05-17,Hot In My Backyard
494,496,2013-05-31,When Patents Attack... Part Two!
495,497,2013-06-14,This Week
496,498,2013-06-21,The One Thing You're Not Supposed To Do
497,499,2013-06-28,Taking Names
498,500,2013-07-12,500!
499,501,2013-07-26,The View From In Here
500,502,2013-08-09,This Call May Be Recorded... To Save Your Life
501,503,2013-08-16,I Was Just Trying To Help
502,504,2013-09-06,How I Got Into College
503,505,2013-09-20,Use Only as Directed
504,506,2013-10-04,Secret Identity
505,507,2013-10-11,Confessions
506,508,2013-10-18,Superpowers 2013
507,509,2013-10-25,It Says So Right Here
508,510,2013-11-01,Fiasco!
509,511,2013-11-08,The Seven Things You’re Not Supposed to Talk About
510,512,2013-11-22,House Rules
511,513,2013-12-13,129 Cars
512,514,2013-12-20,Thought That Counts
513,515,2014-01-10,Good Guys
514,516,2014-01-17,Stuck In The Middle
515,517,2014-01-31,Day At The Beach
516,518,2014-02-14,Except For That One Thing
517,519,2014-03-07,Dead Men Tell No Tales
518,520,2014-03-14,No Place Like Home
519,521,2014-03-28,Bad Baby
520,522,2014-04-11,Tarred and Feathered
521,523,2014-04-25,Death and Taxes
522,524,2014-05-02,I Was So High
523,525,2014-05-09,Call For Help
524,526,2014-05-23,Is That What I Look Like?
525,527,2014-06-13,180 Degrees
526,528,2014-06-20,The Radio Drama Episode 
527,529,2014-06-27,Human Spectacle
528,530,2014-07-18,Mind Your Own Business
529,531,2014-07-25,Got Your Back
530,532,2014-08-15,Magic Words
531,533,2014-09-05,"It's Not the Product, It's the Person"
532,534,2014-09-12,A Not-So-Simple Majority
533,535,2014-09-19,Origin Story 2014
534,536,2014-09-26,The Secret Recordings of Carmen Segarra
535,537,2014-10-03,The Alibi
536,538,2014-10-17,Is This Working?
537,539,2014-11-07,The Leap
538,540,2014-11-21,A Front
539,541,2014-12-05,"Regrets, I've Had a Few"
540,542,2014-12-12,Wait - Do You Have The Map?
541,543,2014-12-26,Wake Up Now
542,544,2015-01-09,Batman
543,545,2015-01-23,"If You Don’t Have Anything Nice to Say, SAY IT IN ALL CAPS"
544,546,2015-01-30,Burroughs 101
545,547,2015-02-06,"Cops See It Differently, Part One"
546,548,2015-02-13,"Cops See It Differently, Part Two"
547,549,2015-02-27,Amateur Hour
548,550,2015-03-13,Three Miles
549,551,2015-03-20,Good Guys 2015
550,552,2015-03-27,Need To Know Basis
551,553,2015-04-03,Stuck In The Middle (2015)
552,554,2015-04-10,Not It!
553,555,2015-04-24,The Incredible Rarity of Changing Your Mind
554,556,2015-05-01,"Same Bed, Different Dreams"
555,557,2015-05-15,Birds & Bees
556,558,2015-05-29,Game Face
557,559,2015-06-26,Captain's Log
558,560,2015-07-03,Abdi and the Golden Ticket
559,561,2015-07-17,NUMMI 2015
560,562,2015-07-31,The Problem We All Live With - Part One
561,563,2015-08-07,The Problem We All Live With - Part Two
562,564,2015-08-14,Too Soon?
563,565,2015-08-28,Lower 9 + 10
564,566,2015-09-11,The Land of Make Believe
565,567,2015-09-18,What’s Going On In There?
566,568,2015-10-02,Human Spectacle 2015
567,569,2015-10-09,Put a Bow on It
568,570,2015-10-16,The Night In Question
569,571,2015-10-30,The Heart Wants What It Wants
570,572,2015-11-06,Transformers
571,573,2015-11-27,Status Update
572,574,2015-12-11,Sinatra’s 100th Birthday
573,575,2015-12-18,Poetry of Propaganda
574,576,2015-12-25,Say Yes To Christmas
575,577,2016-01-15,Something Only I Can See
576,578,2016-01-29,I Thought I Knew You
577,579,2016-02-12,My Damn Mind
578,580,2016-02-19,That's One Way to Do It
579,581,2016-02-26,Anatomy of Doubt 
580,582,2016-03-11,When the Beasts Come Marching In
581,583,2016-03-25,It’ll Make Sense When You’re Older
582,584,2016-04-08,For Your Reconsideration
583,585,2016-04-22,In Defense of Ignorance
584,586,2016-05-06,Who Do We Think We Are?
585,587,2016-05-27,The Perils of Intimacy
586,588,2016-06-03,Mind Games 2016
587,589,2016-06-17,Tell Me I’m Fat
588,590,2016-06-24,Choosing Wrong
589,591,2016-07-15,Get Your Money's Worth
590,592,2016-07-29,Are We There Yet?
591,593,2016-08-05,Don’t Have to Live Like a Refugee
592,594,2016-08-12,My Summer Self
593,595,2016-08-26,Deep End of the Pool
594,596,2016-09-09,Becoming a Badger
595,597,2016-09-23,One Last Thing Before I Go
596,598,2016-10-07,My Undesirable Talent 
597,599,2016-10-21,Seriously?
598,600,2016-10-28,Will I Know Anyone at This Party? 
599,601,2016-11-04,Master of Her Domain… Name
600,602,2016-11-11,The Sun Comes Up
601,603,2016-12-02,"Once More, With Feeling"
602,604,2016-12-09,20 Years Later
603,605,2016-12-16,Kid Logic 2016
604,606,2016-12-23,Just What I Wanted
605,607,2017-01-06,Didn’t We Solve This One?
606,608,2017-01-20,The Revolution Starts At Noon
607,609,2017-02-03,It’s Working Out Very Nicely
608,610,2017-02-17,Grand Gesture
609,611,2017-03-03,Vague and Confused
610,612,2017-03-17,Ask a Grown-Up
611,613,2017-03-31,"OK, I’ll Do It"
612,614,2017-04-14,The Other Mr. President
613,615,2017-04-28,The Beginning of Now
614,616,2017-05-05,I Am Not A Pirate
615,617,2017-05-19,Fermi’s Paradox
616,618,2017-06-09,Mr. Lie Detector
617,619,2017-06-30,The Magic Show
618,620,2017-07-14,To Be Real
619,621,2017-07-21,Fear and Loathing in Homer and Rockville
620,622,2017-08-04,Who You Gonna Call?
621,623,2017-08-18,We Are in the Future
622,624,2017-09-01,Private Geography
623,625,2017-09-08,Essay B
624,626,2017-09-22,White Haze
625,627,2017-10-06,Suitable for Children
626,628,2017-10-13,In the Shadow of the City 2017
627,629,2017-10-20,Expect Delays
628,630,2017-10-27,Things I Mean to Know
629,631,2017-11-10,So a Monkey and a Horse Walk Into a Bar
630,374,2009-02-27,Somewhere Out There
